aalii,aa|0|aah|0|ooh|0
abhorrent,abominating|0|detestable|0|detesting|0|hateful|0|hating|0|horrible|0|horrifying|0|loathing|0|loathsome|0|nauseating|0|obscene|0|odious|0|offensive|0|repellent|0|repugnant|0|repulsive|0|revolting|0|shocking|0|abhorred|0|abominable|0|contemptible|0
abidance,compliance|0|conformation|0|conformity|0|residence|0|residency|0
abide,bear|0|brook|0|digest|0|endure|0|stand|0|stomach|0|suffer|0|submitto|0|putupwith|0|stay|0
abiding,changeless|0|constant|0|continuing|0|durable|0|enduring|0|immutable|0|imperishable|0|lasting|0|permanent|0|stable|0|unchangeable|0|steadfast|0|everlasting|0|unending|0
ability,ableness|0|address|0|adroitness|0|aptitude|0|aptness|0|calibre|0|capableness|0|cleverness|0|competency|0|dexterity|0|efficacy|0|efficiency|0|endowment|0|energy|0|expertness|0|facility|0|faculty|0|force|0|forte|0|genius|0|gift|0|ingenuity|0|knack|0|might|0|parts|0|potency|0|power|0|qualification|0|quickness|0|readiness|0|skilfulness|0|skill|0|strength|0|sufficiency|0|talent|0|turn|0|vigor|0|adeptness|0|bent|0|capability|0|capacity|0|command|0|competence|0|comprehension|0|expertise|0|intelligence|0|know-how|0|cognition|0|part|0
abiogenesis,autogenesis|0|autogeny|0
abject,base|0|base-minded|0|beggarly|0|contemptible|0|cringing|0|degraded|0|despicable|0|dirty|0|earth-born|0|earth-bred|0|grovelling|0|ignoble|0|low|0|low-down|0|low-minded|0|mean|0|menial|0|miserable|0|paltry|0|pitiful|0|poor|0|scummy|0|scurvy|0|servile|0|shabby|0|slavish|0|sneaking|0|sordid|0|squalid|0|unhopeful|0|vile|0|worthless|0|wretched|0
abjection,degradation|0|humbling|0|humiliation|0|abasement|0
abjectly,resignedly|0
abjectness,abjection|0|baseness|0|contemptibleness|0|meanness|0|servility|0|vileness|0
abjuration,abnegation|0|disavowal|0|discarding|0|disclaimer|0|disclaiming|0|disowning|0|recall|0|recantation|0|rejection|0|relinquishment|0|renunciation|0|repudiation|0|retraction|0|revocation|0
abjure,disavow|0|discard|0|disclaim|0|disown|0|forego|0|forswear|0|recall|0|recant|0|reject|0|relinquish|0|renounce|0|repudiate|0|resile|0|retract|0|revoke|0|withdraw|0
ablactate,wean|0|deprive|0
ablactation,weaning|0|substitution|0
ablation,excision|0|extirpation|0
ablaze,afire|0|aflame|0|aflare|0|alight|0|aroused|0|inflamed|0|reddened|0|burning|0|onfire|0|blazing|0
able,able-bodied|0|accomplished|0|adroit|0|apt|0|capable|0|clever|0|competent|0|dexterous|0|effective|0|efficient|0|expert|0|fitted|0|gifted|0|good|0|ingenious|0|masterly|0|mighty|0|nervous|0|powerful|0|practical|0|proficient|0|qualified|0|quick|0|skilful|0|strong|0|talented|0|telling|0|versed|0|vigorous|0
ableism,ablism|0
abloom,efflorescent|0
ablution,baptism|0|bathing|0|cleansing|0|lavation|0|purification|0|wash|0|washing|0|showering|0|scrubbing|0
ablutionary,cleansing|0|purifying|0
ably,aptly|0|capably|0|competently|0
abnegate,abjure|0|deny|0|reject|0|renounce|0|control|0
abnegation,denial|0|rejection|0|renunciation|0|self-abnegation|0|self-denial|0|self-renunciation|0|surrender|0
abnormal,anomalistic|0|anomalous|0|divergent|0|eccentric|0|erratic|0|exceptional|0|heteroclite|0|irregular|0|monstrous|0|peculiar|0|preternatural|0|singular|0|strange|0|unconformable|0|unnatural|0|unusual|0|deviant|0|deviating|0|unconventional|0|aberrant|0
abnormalcy,abnormality|0|condition|0
abnormality,freakishness|0|irregularity|0|unconformity|0|unusualness|0|singularity|0|eccentricity|0|unconventionality|0|abnormalcy|0
abnormity,abnormality|0|anomaly|0|deformity|0|idiosyncrasy|0|irregularity|0|monstrosity|0|peculiarity|0|singularity|0|unconformity|0
aboard,alongside|0|inside|0|on|0|within|0
abode,continuance|0|domicile|0|dwelling|0|habitation|0|headquarters|0|home|0|house|0|lodging|0|place|0|quarters|0|residence|0|seat|0|stay|0|habitat|0|accommodation|0|address|0|quarter|0|dwelling-place|0
abolish,abrogate|0|annihilate|0|annul|0|cancel|0|destroy|0|disannul|0|eradicate|0|extinguish|0|extirpate|0|invalidate|0|nullify|0|obliterate|0|overthrow|0|quash|0|repeal|0|rescind|0|revoke|0|squelch|0|subvert|0|suppress|0|vacate|0|stop|0|terminate|0|axe|0|eliminate|0
abolishment,abolition|0|termination|0
abolition,abrogation|0|annihilation|0|annulling|0|annulment|0|cancellation|0|cancelling|0|destruction|0|eradication|0|extinction|0|extinguishment|0|extirpation|0|nullification|0|obliteration|0|overthrow|0|repeal|0|rescinding|0|rescission|0|revocation|0|subversion|0|suppression|0|elimination|0|end|0|termination|0|repudiation|0
abolitionist,emancipationist|0|reformer|0
abominable,accursed|0|atrocious|0|awful|0|cursed|0|damnable|0|detestable|0|disgusting|0|dreadful|0|execrable|0|foul|0|hateful|0|hellish|0|horrible|0|horrid|0|loathly|0|loathsome|0|nauseating|0|nauseous|0|nefarious|0|obnoxious|0|odious|0|offensive|0|painful|0|repulsive|0|revolting|0|scurvy|0|shabby|0|shocking|0|sickening|0|sorry|0|terrible|0|unspeakable|0|vile|0|wretched|0|repugnant|0|monstrous|0
abominably,abysmally|0|atrociously|0|awfully|0|detestably|0|odiously|0|rottenly|0|terribly|0
abominate,detest|0|execrate|0|hate|0|loathe|0|nauseate|0|abhor|0
abomination,annoyance|0|antipathy|0|contamination|0|corruption|0|corruptness|0|curse|0|defilement|0|detestation|0|disgust|0|execration|0|foulness|0|hatred|0|impurity|0|infliction|0|loathing|0|loathsomeness|0|nuisance|0|odiousness|0|odium|0|plague|0|pollution|0|taint|0|torment|0|uncleanness|0|aversion|0|dislike|0
abominator,loather|0|hater|0
aboriginal,aborigine|0|autochthonal|0|autochthonous|0|first|0|indigen|0|indigene|0|indigenous|0|native|0|original|0|primaeval|0|primal|0|primary|0|prime|0|primeval|0|primitive|0|primordial|0|pristine|0|autochthon|0
aborigine,indigen|0|indigene|0|native|0|aboriginal|0|autochthon|0
aborigines,aboriginals|0|autochthones|0|indigenes|0|natives|0|indigens|0
aborticide,abortifacient|0|feticide|0|drug|0
abortion,disappointment|0|failure|0|miscarriage|0
abortive,bootless|0|failing|0|futile|0|idle|0|immature|0|incomplete|0|ineffective|0|ineffectual|0|inoperative|0|miscarrying|0|nugatory|0|profitless|0|rudimental|0|rudimentary|0|stillborn|0|stunted|0|unavailing|0|unprofitable|0|unsuccessful|0|untimely|0|useless|0
aboulia,abulia|0
aboulic,abulic|0|neurotic|0
abound,bristle|0|burst|0|exuberate|0|flow|0|increase|0|luxuriate|0|multiply|0|revel|0|swarm|0|swell|0|teem|0|wanton|0|prevail|0|thrive|0|flourish|0
abounding,galore|0|abundant|0|exuberating|0|luxuriating|0|teeming|0|prevailing|0|flourishing|0
about,almost|0|approximately|0|around|0|astir|0|most|0|roughly|0|some|0|active|0
above,supra|0|overhead|0|onhigh|0|aloft|0|inthesky|0|heavens|0
aboveboard,honestly|0|straightforward|0|straight|0
abradant,abrader|0|abrasive|0|material|0
abrade,abrase|0|corrade|0|scour|0|scrape|0
abranchial,abranchiate|0|abranchious|0|gill-less|0
abranchiate,abranchious|0|gill-less|0|abranchial|0
abranchious,gill-less|0|abranchial|0
abrase,corrade|0|abrade|0
